precision,recall
0.2891089108910891,1.0
0.28919071873231467,1.0
0.28927257288423436,1.0
0.2893544733861835,1.0
0.2894364202775418,1.0
0.2895184135977337,1.0
0.2896004533862284,1.0
0.2896825396825397,1.0
0.28976467252622623,1.0
0.28984685195689164,1.0
0.2900936701674709,1.0
0.29017603634298694,1.0
0.29025844930417494,1.0
0.2903409090909091,1.0
0.2904234157431088,1.0
0.2905059693007391,1.0
0.2905885698038101,1.0
0.2906712172923777,1.0
0.2908366533864542,1.0
0.29091944207230286,1.0
0.29100227790432803,1.0
0.291085160922814,1.0
0.29116809116809117,1.0
0.292,1.0
0.2920834524149757,1.0
0.292166952544311,1.0
0.2922505004289391,1.0
0.2923340961098398,1.0
